market_id,adm_cd,adm_nm,overlap_ratio,relation_type,source_id,geometry_version,confidence
SEOUL-SEONGDONG-SEOULFOREST,11200670,성수2가1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-SEOULFOREST,11200650,성수1가1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-WANGSIMNI,11200520,왕십리2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-WANGSIMNI,11200535,왕십리도선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-WANGSIMNI,11200560,행당1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-WANGSIMNI,11200550,사근동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-HAENGDANG-HANYANG,11200560,행당1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-HAENGDANG-HANYANG,11200550,사근동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-HAENGDANG-HANYANG,11200520,왕십리2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-HAENGDANG-HANYANG,11200535,왕십리도선동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-GEUMHO-OKSU,11200645,옥수동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-GEUMHO-OKSU,11200615,금호2·3가동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-GEUMHO-OKSU,11200620,금호4가동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-SEONGDONG-GEUMHO-OKSU,11200590,금호1가동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-SEONGDONG-MAJANG,11200540,마장동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-KONKUK,11215847,자양4동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-KONKUK,11215710,화양동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUI-GANGBYEON,11215870,구의3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUI-GANGBYEON,11215820,자양1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUI-GANGBYEON,11215850,구의1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-JAYANG,11215847,자양4동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-JAYANG,11215710,화양동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-JAYANG,11215830,자양2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GWANGJIN-JAYANG,11215820,자양1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GWANGJIN-CHILDRENSPARK-SEJONG,11215710,화양동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-CHILDRENSPARK-SEJONG,11215730,군자동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-CHILDRENSPARK-SEJONG,11215847,자양4동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-GWANGJIN-GUNJA-JUNGGOK,11215740,중곡1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUNJA-JUNGGOK,11215780,능동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUNJA-JUNGGOK,11215750,중곡2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUNJA-JUNGGOK,11215730,군자동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-GWANGJIN-GUNJA-JUNGGOK,11215760,중곡3동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-CHEONGNYANGNI,11230560,전농1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-CHEONGNYANGNI,11230536,용신동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-CHEONGNYANGNI,11230545,제기동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-HOEGI-KYUNGHEE,11230720,휘경1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-HOEGI-KYUNGHEE,11230710,회기동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-HOEGI-KYUNGHEE,11230740,이문1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-HUFS-IMUN,11230740,이문1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-HUFS-IMUN,11230720,휘경1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-HUFS-IMUN,11230750,이문2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230660,장안2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230610,답십리2동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230536,용신동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230545,제기동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230705,청량리동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230560,전농1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI,11230600,답십리1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JEONNONG,11230560,전농1동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JEONNONG,11230536,용신동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JEONNONG,11230545,제기동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,D
SEOUL-DONGDAEMUN-JEGI-YONGDU-SINSEOL,11230536,용신동,,manual_review,SRC-SEOUL-OA-15560,SEOUL_ADMIN_DONG_SHP_2023-10-20,C
